id,text,context,true_label,true_label_binary,has_video,has_audio,text_only_prediction,text_only_pred_binary,text_only_correct,text_only_time,text_only_raw,audio_only_prediction,audio_only_pred_binary,audio_only_correct,audio_only_time,audio_only_raw,video_only_prediction,video_only_pred_binary,video_only_correct,video_only_time,video_only_raw,text_audio_prediction,text_audio_pred_binary,text_audio_correct,text_audio_time,text_audio_raw,text_video_prediction,text_video_pred_binary,text_video_correct,text_video_time,text_video_raw,text_audio_video_prediction,text_audio_video_pred_binary,text_audio_video_correct,text_audio_video_time,text_audio_video_raw
1_2669,LEONARD: What did you mean when you said you were going to miss me?,"PENNY: What time is it? | LEONARD: It's 7:00 a.m. I'm sorry it's early, but we're leaving soon, and I needed to talk to you.",0,0,True,True,LITERAL,0,True,1.82,LITERAL,LITERAL,0.0,True,1.49,LITERAL,LITERAL,0.0,True,2.37,LITERAL,LITERAL,0.0,True,1.31,LITERAL,LITERAL,0.0,True,2.37,LITERAL,LITERAL,0.0,True,3.86,LITERAL
1_10977,HOWARD: Let's not talk about this in front of our friends.,"BERNADETTE: Like what? Your incomplete set of <i>Star Trek</i> collector plates? | HOWARD: For your information, I just bought the last one I needed on eBay. | BERNADETTE: Without asking me? | HOWARD: There were only three minutes left in the auction and it was a mint condition Scotty from a smoke-free home. | BERNADETTE: How much, Howie? | HOWARD: Not a lot. | BERNADETTE: How much?",0,0,True,True,LITERAL,0,True,1.31,LITERAL,LITERAL,0.0,True,1.6,LITERAL,LITERAL,0.0,True,3.05,LITERAL,LITERAL,0.0,True,1.63,LITERAL,LITERAL,0.0,True,2.66,LITERAL,LITERAL,0.0,True,2.35,LITERAL
1_533,"LEONARD: Technically, yes. But, if you'll notice... It's reversible!","LEONARD: Because it's not a costume, it's a flight suit. | PENNY: Ok, alright, moving on. | PENNY: Oh, wow. A paisley shirt. | LEONARD: It goes with my corduroy suit. | PENNY: If you mean it should end up in the same place, then I agree. | PENNY: Is this your only tie?",0,0,True,True,LITERAL,0,True,0.59,LITERAL,SARCASTIC,1.0,False,1.54,SARCASTIC,LITERAL,0.0,True,3.9,LITERAL,LITERAL,0.0,True,1.37,LITERAL,LITERAL,0.0,True,2.14,LITERAL,LITERAL,0.0,True,2.3,LITERAL
1_5169,AMY: I'm not saying that you're not fun. You're the most fun person I know.,"AMY: Your flaring nostrils indicate otherwise. | SHELDON: Cluck-cluck-cluck. | AMY: Sheldon, look at me.
I think it's time to face the fact that Leonard is the nucleus of your social group.
Where he goes, the group goes. | SHELDON: Leonard the nucleus? That makes no sense. | SHELDON: I'm the whimsical elf that everyone looks to for a good time.",0,0,True,True,SARCASTIC,1,False,0.45,SARCASTIC,LITERAL,0.0,True,1.52,LITERAL,LITERAL,0.0,True,3.82,LITERAL,,,,0.0,"429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'Resource exhausted. Please try again later. Please refer to https://cloud.google.com/vertex-ai/generative-ai/docs/error-code-429 for more de",SARCASTIC,1.0,False,2.28,SARCASTIC,SARCASTIC,1.0,False,1.82,SARCASTIC
2_498,"CHANDLER: Uh, so how many cameras are actually on you.","PERSON1: Where's Monica? | MONICA: Over here Dad | PERSON2: How to you zoom out? There she is | JOEY: Some girl ate Monica | MONICA: Shut up, the camera adds 10 pounds.",1,1,True,True,SARCASTIC,1,True,0.59,SARCASTIC,SARCASTIC,1.0,True,1.36,SARCASTIC,SARCASTIC,1.0,True,4.09,SARCASTIC,SARCASTIC,1.0,True,1.32,SARCASTIC,SARCASTIC,1.0,True,3.52,SARCASTIC,SARCASTIC,1.0,True,2.57,SARCASTIC
2_377,CHANDLER: Yeah either that or gloria estefan was right eventually the rhythm is going to get you,"JOEY: Oh Mommy, Oh Daddy, I am a big ol Baddy. | ROSS: I guess he must have gotten the part in the play.",1,1,True,True,SARCASTIC,1,True,0.52,SARCASTIC,SARCASTIC,1.0,True,1.46,SARCASTIC,LITERAL,0.0,False,2.89,LITERAL,SARCASTIC,1.0,True,1.58,SARCASTIC,SARCASTIC,1.0,True,2.06,SARCASTIC,SARCASTIC,1.0,True,1.78,SARCASTIC
2_84,"CHANDLER: If that doesn't keep kids in school, what will?","RACHEL: Two week straight and she hasn't smoked since. | MONICA: So how did you guys meet? | PERSON1: Oh I was in Mrs. Knight's oh I mean Alice, I was in her Home ED class. | PERSON2: And he was my best student. | PERSON1: Yes she was my best teacher.",1,1,True,True,SARCASTIC,1,True,0.51,SARCASTIC,SARCASTIC,1.0,True,1.36,SARCASTIC,LITERAL,0.0,False,2.56,LITERAL,SARCASTIC,1.0,True,1.42,SARCASTIC,SARCASTIC,1.0,True,2.29,SARCASTIC,SARCASTIC,1.0,True,1.99,SARCASTIC
2_204,"CHANDLER: Oh Oh, I am convinced!","RACHEL: What if you could keep the apartment and get the tickets. | JOEY: Done | RACHEL: Let me finish, talking about a bet, winner takes all | JOEY: We could end up with nothing. | PHOEBE: Or you could end up with everything | JOEY: I like that! | MONICA: So what do you say? | CHANDLER: No | MONICA: Just do it!",1,1,True,True,SARCASTIC,1,True,0.77,SARCASTIC,SARCASTIC,1.0,True,1.53,SARCASTIC,SARCASTIC,1.0,True,2.33,SARCASTIC,SARCASTIC,1.0,True,2.6,SARCASTIC,SARCASTIC,1.0,True,3.23,SARCASTIC,SARCASTIC,1.0,True,2.16,SARCASTIC
2_310,CHANDLER: Well thank God your livelihood doesn't depend on it.,"CHANDLER: Hey, I need you to set me up for a joke. Later when Monica is around I need you to ask me about firetrucks | JOEY: I don't know Chandler, I am not so good with remembering lines.",1,1,True,True,SARCASTIC,1,True,1.05,SARCASTIC,SARCASTIC,1.0,True,1.56,SARCASTIC,SARCASTIC,1.0,True,2.68,SARCASTIC,SARCASTIC,1.0,True,1.74,SARCASTIC,SARCASTIC,1.0,True,2.67,SARCASTIC,SARCASTIC,1.0,True,2.63,SARCASTIC
2_518,CHANDLER: Oh tons. I am quite the woodsman.,"CHANDLER: Okay, lets find these birds. | JOEY: Wait wait, you hear that? There are in the table? | CHANDLER: That can't be good | JOEY: We have to get them out of there | CHANDLER: how? | JOEY: Maybe we can lure them out, you know of any bird calls?",1,1,True,True,SARCASTIC,1,True,0.52,SARCASTIC,SARCASTIC,1.0,True,1.42,SARCASTIC,SARCASTIC,1.0,True,3.03,SARCASTIC,SARCASTIC,1.0,True,1.38,SARCASTIC,SARCASTIC,1.0,True,2.43,SARCASTIC,SARCASTIC,1.0,True,2.01,SARCASTIC
2_573,"CHANDLER: Oh I see, I thought you just really really liked your new couch.","ROSS: Look I drew a sketch of how we are gonna do it ok? Rach, that's you, that's the couch | RACHEL: What's that? | ROSS: Oh, that's me. | RACHEL: Wow! Certainly think a lot of yourself. | ROSS: No, that's my arm.",1,1,True,True,SARCASTIC,1,True,3.47,SARCASTIC,SARCASTIC,1.0,True,1.3,SARCASTIC,LITERAL,0.0,False,2.87,LITERAL,SARCASTIC,1.0,True,1.51,SARCASTIC,SARCASTIC,1.0,True,2.45,SARCASTIC,SARCASTIC,1.0,True,2.54,SARCASTIC
2_246,"CHANDLER: Well, it will probably slow me down at first. But once I am used to the extra weight, I ll get back on track.","JOEY: Oh no no, that's the beauty of it, it goes with everything. You put this on, you are good to go! | CHANDLER: Hell I have never been good to go, so, what the hell why not try some jewellery huh? | JOEY: Oh man! You are so wearing that bracelet! | CHANDLER: I so am | JOEY: You have any idea what this will do to your sex life?",1,1,True,True,SARCASTIC,1,True,1.65,SARCASTIC,SARCASTIC,1.0,True,15.55,SARCASTIC,SARCASTIC,1.0,True,3.95,SARCASTIC,SARCASTIC,1.0,True,1.37,SARCASTIC,SARCASTIC,1.0,True,2.51,SARCASTIC,SARCASTIC,1.0,True,2.33,SARCASTIC
2_441,"ROSS: He's right, even if it's to say something complementary.","ROSS: Oh. | PHOEBE: Please, right now, no, every time I see him it's like  'Is it on the lose?'  'Is it watching me?' | CHANDLER: We can't tell him, you can't go up to a guy you barely know and talk about his.... stuff.",0,0,True,True,LITERAL,0,True,0.48,LITERAL,LITERAL,0.0,True,1.5,LITERAL,LITERAL,0.0,True,3.02,LITERAL,LITERAL,0.0,True,1.25,LITERAL,LITERAL,0.0,True,2.71,LITERAL,LITERAL,0.0,True,2.87,LITERAL
2_53,RACHEL: You're gonna have to tell me how you did that.,"PERSON: Oh good, you're here. Yeah, and I was worried that it was going to be uncomfortable. | RACHEL: I know Mona, just hear me out. First of all, I'm so sorry about my father yelling at you, but I heard you totally held your own.",0,0,True,True,LITERAL,0,True,1.23,LITERAL,LITERAL,0.0,True,1.48,LITERAL,LITERAL,0.0,True,2.23,LITERAL,LITERAL,0.0,True,1.57,LITERAL,LITERAL,0.0,True,1.66,LITERAL,LITERAL,0.0,True,2.15,LITERAL
2_419,PHOEBE: Uh-huh!,"JOEY: Look, Pheebs, I just, I wanna apologize for, for saying that your method was stupid and-and maybe ask you to be my teacher again. And-and I promise, I won't touch a guitar until you say I'm ready. You really think I'm ready?",0,0,True,True,LITERAL,0,True,0.47,LITERAL,LITERAL,0.0,True,1.77,LITERAL,LITERAL,0.0,True,2.48,LITERAL,LITERAL,0.0,True,1.6,LITERAL,LITERAL,0.0,True,1.99,LITERAL,LITERAL,0.0,True,2.36,LITERAL
2_188,MONICA: You had no relationship!!,"RACHEL: I just saw Danny getting on the subway with a girl and he had his arm around her. | MONICA: Oh, honey, I'm sorry. | RACHEL: Well, you should be, this is all your fault! You meddled in our relationship!!",0,0,True,True,LITERAL,0,True,0.44,LITERAL,LITERAL,0.0,True,1.42,LITERAL,LITERAL,0.0,True,2.62,LITERAL,LITERAL,0.0,True,1.26,LITERAL,LITERAL,0.0,True,1.86,LITERAL,LITERAL,0.0,True,2.07,LITERAL
2_426,"JOEY: Are you kidding? I love that guy!  Morning's here! Morning is here,",PERSON: HEY!! Do you Oh come on! Morning's here!  Morning's here! The morning is here! Sunshine is here! RACHEL:I hate this apartment,0,0,True,True,SARCASTIC,1,False,0.68,SARCASTIC,LITERAL,0.0,True,1.32,LITERAL,LITERAL,0.0,True,2.45,LITERAL,SARCASTIC,1.0,False,2.17,SARCASTIC,SARCASTIC,1.0,False,2.38,SARCASTIC,SARCASTIC,1.0,False,2.95,SARCASTIC
2_13,"RACHEL: All right, let's do it.","MONICA: Rachel, I have not missed one question the whole game. I own this game! Look at my hand. | RACHEL: Why? Do you have the answers written on there? | MONICA: No! Steady as a rock! Now, are you with me.",0,0,True,True,LITERAL,0,True,0.44,LITERAL,LITERAL,0.0,True,1.2,LITERAL,LITERAL,0.0,True,3.11,LITERAL,LITERAL,0.0,True,1.49,LITERAL,LITERAL,0.0,True,2.55,LITERAL,LITERAL,0.0,True,2.22,LITERAL
