example_id,split,text,context,true_label,num_models_correct,num_models_wrong,total_models,num_FN,num_FP,models_wrong,models_correct,pred_gemma2_9b_context,pred_gemma2_9b_no_context,pred_qwen2.5_14b_context,pred_qwen2.5_14b_no_context,pred_phi3_medium_context,pred_phi3_medium_no_context
297,train,"LEONARD: Yeah, my parents felt that naming me Leonard and putting me in Advanced Placement classes wasn't getting me beaten up enough.","PERSON: He switched over to high-energy radiation research, had a little mishap, and now the other guys are uncomfortable sitting next to him. | PERSON: You're in? | LEONARD: Yeah, sure, why not? | PERSON: Great, we rehearse on Tuesdays at your place. | LEONARD: Why at my place? | PERSON: Department of Energy said our regular space is kind of a hot zone. | PERSON: Nice meeting you. | PENNY: Yeah, you, too.
Leonard, I didn't know you played the cello.",1,6,0,6,0,0,None,"gemma2_9b_context, gemma2_9b_no_context, qwen2.5_14b_context, qwen2.5_14b_no_context, phi3_medium_context, phi3_medium_no_context",1,1,1,1,1,1
295,train,"DOROTHY: Ofcourse no Ma, I am referring to Carrey Grant, he is living in the broom closet.","DOROTHY: Supposed to study for my French final with a fourteen year old in the house, its hard enough with an eighty year old. | SOPHIA: Are you referring to me?",1,6,0,6,0,0,None,"gemma2_9b_context, gemma2_9b_no_context, qwen2.5_14b_context, qwen2.5_14b_no_context, phi3_medium_context, phi3_medium_no_context",1,1,1,1,1,1
123,train,"HOWARD: Right, right, whereas Jewish mothers take a casual, la-di-da approach to their sons.","HOWARD: I was thinking of weaving it into her eulogy. | PERSON: Howard, you've got to tell your mother. | HOWARD: Hey, have you told your parents you're dating this short glass of skim milk here? | PERSON: Uh... that's different.
First of all, we're not engaged; and second, Indian parents are very protective of their children.",1,6,0,6,0,0,None,"gemma2_9b_context, gemma2_9b_no_context, qwen2.5_14b_context, qwen2.5_14b_no_context, phi3_medium_context, phi3_medium_no_context",1,1,1,1,1,1
290,train,"BERNADETTE: I love that you take pride in your looks, even when I have to pee in the morning, and you're in there spending an hour on your hair.","SHELDON: I was not panicked, and I am not overly attached to Leonard. | LEONARD: You were so worried that you smashed your face trying to check on me.
You love me. | SHELDON: Yeah. Tell me those aren't the words of a man with a spider eating its way through his brain. | SHELDON: Amy, you're a neuroscientist.
Crack his skull open, spray some Raid in there.",1,6,0,6,0,0,None,"gemma2_9b_context, gemma2_9b_no_context, qwen2.5_14b_context, qwen2.5_14b_no_context, phi3_medium_context, phi3_medium_no_context",1,1,1,1,1,1
288,train,"RAJ: Dumped her? What, did he use a forklift?","HOWARD: to rebrand the stuff as a cure for constipation. | RAJ: Way to make lemonade.
You know, from around the corner where fudge is made. | HOWARD: Hey, I got a favor to ask. | RAJ: Sure. | HOWARD: My mom's been kind of an emotional wreck since that dentist she was dating dumped her.",1,6,0,6,0,0,None,"gemma2_9b_context, gemma2_9b_no_context, qwen2.5_14b_context, qwen2.5_14b_no_context, phi3_medium_context, phi3_medium_no_context",1,1,1,1,1,1
127,train,SHELDON: How nice. Maybe they can carpool when they visit you in federal prison.,"HOWARD: So my friend Leonard is gonna take you home. | PERSON: Okay. Let's go, friend Leonard. | HOWARD: I'll call ya. | PERSON: So are you a scientist like Howard? | LEONARD: No one's a scientist like Howard. | HOWARD: My mother is so gonna love her.",1,6,0,6,0,0,None,"gemma2_9b_context, gemma2_9b_no_context, qwen2.5_14b_context, qwen2.5_14b_no_context, phi3_medium_context, phi3_medium_no_context",1,1,1,1,1,1
284,train,BERNADETTE: Because you're in the right lane behind a bus and you won't go around it? I'm sure she finds it charming.,LEONARD: Do you think Penny's mad at me?,1,6,0,6,0,0,None,"gemma2_9b_context, gemma2_9b_no_context, qwen2.5_14b_context, qwen2.5_14b_no_context, phi3_medium_context, phi3_medium_no_context",1,1,1,1,1,1
329,train,CHANDLER: Did you tell her about the magical night that starts with the flush of every toilet?,"CHANDLER: So Ross, how was the date the other night?",1,6,0,6,0,0,None,"gemma2_9b_context, gemma2_9b_no_context, qwen2.5_14b_context, qwen2.5_14b_no_context, phi3_medium_context, phi3_medium_no_context",1,1,1,1,1,1
102,train,"RAJ: Ooh, big talk from a man who was once treed by a chicken.","HOWARD: Don't push me, Sheldon.
I may be small, but I took kung fu when I was 13, and I remember a good deal of it. | SHELDON: Oh, really? | SHELDON: Well, I grew up with an older brother and a very contentious twin sister. | SHELDON: And I believe I could easily best you in any physical confrontation-- be it noogies, swirlies or the classic ""Why are you hitting yourself?""",1,6,0,6,0,0,None,"gemma2_9b_context, gemma2_9b_no_context, qwen2.5_14b_context, qwen2.5_14b_no_context, phi3_medium_context, phi3_medium_no_context",1,1,1,1,1,1
75,train,"CHANDLER: ThatÕs a good one too Pheebs, now all that I have to do is find a plane load of people whose resolution is to plummet to their deaths",PHOEBE: That's a good one. Mine is to pilot a commercial jet.,1,6,0,6,0,0,None,"gemma2_9b_context, gemma2_9b_no_context, qwen2.5_14b_context, qwen2.5_14b_no_context, phi3_medium_context, phi3_medium_no_context",1,1,1,1,1,1
101,train,"CHANDLER: Yes and we are ""very"" excited about it.","ROSS: Anyway, if you don't feel like being alone tonight, Joey and Chandler are coming over to help put together my new furniture.",1,6,0,6,0,0,None,"gemma2_9b_context, gemma2_9b_no_context, qwen2.5_14b_context, qwen2.5_14b_no_context, phi3_medium_context, phi3_medium_no_context",1,1,1,1,1,1
381,train,"CHANDLER: I guess he wants to do a little dance, you know, make a little love. Well pretty much get down to that.",ROSS: Hey who is this Casey? | PHOEBE: Oh some guy she met in the movies | ROSS: Oh really? What does he want with her?,1,6,0,6,0,0,None,"gemma2_9b_context, gemma2_9b_no_context, qwen2.5_14b_context, qwen2.5_14b_no_context, phi3_medium_context, phi3_medium_no_context",1,1,1,1,1,1
380,train,"AMY: And if it turns out you don't... - you and I could live together. - You and... Oh, sure.","SHELDON: Ugh! It's like walking into the Amazon.
And not the good Amazon with one-day shipping.
The awful one with birds and snakes. | AMY: You hate the sound of all those keys on his key chain. | SHELDON: Four keys!
Who does he think he is, a warden? | AMY: See? Maybe you'll love living alone. | SHELDON: I don't know. Perhaps.",1,6,0,6,0,0,None,"gemma2_9b_context, gemma2_9b_no_context, qwen2.5_14b_context, qwen2.5_14b_no_context, phi3_medium_context, phi3_medium_no_context",1,1,1,1,1,1
81,train,"SHELDON: How's this? ""Pleased to meet you, Dr. Gablehauser. ""How fortunate for you that the university's ""chosen to hire you, despite the fact ""that you've done no original research in 25 years, ""and instead have written a series of popular books ""that reduce the great concepts of science ""to a series of anecdotes, ""each one dumbed down to accommodate the duration ""of an average bowel movement.","SHELDON: You know, I am not going to enjoy this party. | LEONARD: I know, I'm familiar with you. | SHELDON: The last department party, Professor Finkleday cornered me and talked about spelunking for 45 minutes. | LEONARD: Yes, I was there. | SHELDON: You know what's interesting about caves? | LEONARD: What? | SHELDON: Nothing. | LEONARD: Then we'll avoid him, we'll meet the new department head, congratulate him, shake his hand and go.",1,6,0,6,0,0,None,"gemma2_9b_context, gemma2_9b_no_context, qwen2.5_14b_context, qwen2.5_14b_no_context, phi3_medium_context, phi3_medium_no_context",1,1,1,1,1,1
367,train,SHELDON: I'm just inferring this is a couch because the evidence suggests the coffee table is having a tiny garage sale.,"SHELDON: Great Caesar's ghost, look at this place. | LEONARD: So Penny's a little messy. | SHELDON: A little messy? | SHELDON: The Mandelbrot set of complex numbers is a little messy. This is chaos. | SHELDON: Excuse me. | SHELDON: Explain to me an organizational system where a tray of flatware on a couch is valid.",1,6,0,6,0,0,None,"gemma2_9b_context, gemma2_9b_no_context, qwen2.5_14b_context, qwen2.5_14b_no_context, phi3_medium_context, phi3_medium_no_context",1,1,1,1,1,1
366,train,"SHELDON: Oh, I see why you're confused. No, her news sounded important, but what you're forgetting is, it was an achievement in the field of biology. That's all about yucky, squishy things.","SHELDON: It's probably a euphemism for urination. | PENNY: Sheldon, what is wrong with you? | SHELDON: Not much. Although, I can be faulted for being overly fond of koala bears. | SHELDON: I don't know what it is, when they smart munching on eucalyptus, I just melt inside. | PENNY: Okay, Amy just told you some exciting news, and you acted like it was no big deal.",1,6,0,6,0,0,None,"gemma2_9b_context, gemma2_9b_no_context, qwen2.5_14b_context, qwen2.5_14b_no_context, phi3_medium_context, phi3_medium_no_context",1,1,1,1,1,1
365,train,"HOWARD: They gave him an assistant? If I want a new pen, I have to go to the bank with wire cutters.","RAJ: They're going to digitally add a supernova.
They say it's the perfect metaphor for my incandescent talent. | SHELDON: Right, a ball of hot, flaming gas that collapses upon itself. | RAJ: Excuse me. Oh, it's my assistant, Trevor. | RAJ: Go for Koothrappali.",1,6,0,6,0,0,None,"gemma2_9b_context, gemma2_9b_no_context, qwen2.5_14b_context, qwen2.5_14b_no_context, phi3_medium_context, phi3_medium_no_context",1,1,1,1,1,1
88,train,"CHANDLER: And Hornswoggle? What? Are you dating a character from ""Fraggle Rock""? Ahh.","CHANDLER: I can't take it any more! So you win, okay? Pheebs? Flying a jet? Better make it a spaceship so that you can get back to your home planet! And Ross, phone call for you today. Tom Jones, he wants his pants back!",1,6,0,6,0,0,None,"gemma2_9b_context, gemma2_9b_no_context, qwen2.5_14b_context, qwen2.5_14b_no_context, phi3_medium_context, phi3_medium_no_context",1,1,1,1,1,1
89,train,"HOWARD: But if she dumps you, she'll have a new boyfriend by tomorrow morning and you'll have a new girlfriend when you figure out how to build one.","LEONARD: Let me ask you something. | LEONARD: Do you think it's okay for Penny to have an ex-boyfriend sleep on her couch? | HOWARD: No, I mean, she's obviously way out of line. | LEONARD: Thank you!",1,6,0,6,0,0,None,"gemma2_9b_context, gemma2_9b_no_context, qwen2.5_14b_context, qwen2.5_14b_no_context, phi3_medium_context, phi3_medium_no_context",1,1,1,1,1,1
360,train,"SHELDON: Well, I'm sorry, too, but there's just no room for you in my wallet.","SHELDON: This is Dr. Sheldon Cooper. | SHELDON: Yeah, I need to cancel my membership to the planetarium.",1,6,0,6,0,0,None,"gemma2_9b_context, gemma2_9b_no_context, qwen2.5_14b_context, qwen2.5_14b_no_context, phi3_medium_context, phi3_medium_no_context",1,1,1,1,1,1
184,train,"RACHEL: I guess you'd know that, being one of the two of us, though, right?","RACHEL: So. I just thought the two of us should hang out for a bit. I mean, you know, we've never really talked.",1,6,0,6,0,0,None,"gemma2_9b_context, gemma2_9b_no_context, qwen2.5_14b_context, qwen2.5_14b_no_context, phi3_medium_context, phi3_medium_no_context",1,1,1,1,1,1
357,train,"SHELDON: Notify the editors of the Oxford English Dictionary. The word ""plenty"" has been redefined to mean ""two.""","HOWARD: Are you saying that you've been holding back? | LEONARD: Of course. Out of respect. | HOWARD: So, how do you explain the ten years before Penny? | RAJ: Who were you respecting then? | LEONARD: Well, I've dated plenty of women. | LEONARD: There was Joyce Kim, Leslie Winkle",1,6,0,6,0,0,None,"gemma2_9b_context, gemma2_9b_no_context, qwen2.5_14b_context, qwen2.5_14b_no_context, phi3_medium_context, phi3_medium_no_context",1,1,1,1,1,1
94,train,CHANDLER: If only there was something in your head to control the things you say.,"JOEY: Remember what happened the last time I did an interview for them? I said I write a lot of my own lines, then the writers got mad and made my character fall down the elevator shaft. So who knows what I might say this time.",1,6,0,6,0,0,None,"gemma2_9b_context, gemma2_9b_no_context, qwen2.5_14b_context, qwen2.5_14b_no_context, phi3_medium_context, phi3_medium_no_context",1,1,1,1,1,1
95,train,"PENNY: Yeah, it's a great time to be alive, isn't it?","SHELDON: but the driver didn't look at all like the photograph on his license, so I leapt out and ran for it. | AMY: Wise. | PENNY: There you go. Just like recovering alcoholics drink in the Caribbean. | AMY: Hi, bestie. | PENNY: Oh. Hi, Amy. How you been? | AMY: Fine. From this angle, I can see up your nose.",1,6,0,6,0,0,None,"gemma2_9b_context, gemma2_9b_no_context, qwen2.5_14b_context, qwen2.5_14b_no_context, phi3_medium_context, phi3_medium_no_context",1,1,1,1,1,1
350,train,"CHANDLER: Joey ate my last stick of gum, so I killed him. Do you think that was wrong?","CHANDLER: How old is that sock!. If I had a sock on my hand for thirty years, it would be talking too. | ROSS: Okay, I think its time to change somebody's nicotine patch.",1,6,0,6,0,0,None,"gemma2_9b_context, gemma2_9b_no_context, qwen2.5_14b_context, qwen2.5_14b_no_context, phi3_medium_context, phi3_medium_no_context",1,1,1,1,1,1
335,train,CHANDLER: I can see it from right here. It'll cost you one husband.,MONICA: Oh wait! Stop! Stop! Stop! | CHANDLER: Oh I'm sorry! Do you need a break? | MONICA: My boots in tan! Hey! Can you get a little closer so I can see the price?,1,6,0,6,0,0,None,"gemma2_9b_context, gemma2_9b_no_context, qwen2.5_14b_context, qwen2.5_14b_no_context, phi3_medium_context, phi3_medium_no_context",1,1,1,1,1,1
283,train,PERSON: I think I'm gonna go. Thank you for the burrito and the pork rinds and the 20-minute lecture on why monster trucks are better than regular trucks.,"RAJ: Probably because I didn't read the instructions.
No wrapper's going to tell me what to do. | RAJ: Unless his name is Jay-Z. | PERSON: Is something going on? | RAJ: What do you mean? | PERSON: Well, you're acting all weird.
And I'm pretty weird, so I think I know what I'm talking about. | RAJ: I don't know. Maybe it's all those steroids I've been taking.",1,6,0,6,0,0,None,"gemma2_9b_context, gemma2_9b_no_context, qwen2.5_14b_context, qwen2.5_14b_no_context, phi3_medium_context, phi3_medium_no_context",1,1,1,1,1,1
282,train,"SHELDON: - You and... Oh, sure. And while we're at it, why don't we get engaged, too? Why don't we get a little house, start a family? Enjoy our sunset years together? Do you hear yourself, woman?!","SHELDON: And not the good Amazon with one-day shipping.
The awful one with birds and snakes. | AMY: You hate the sound of all those keys on his key chain. | SHELDON: Four keys!
Who does he think he is, a warden? | AMY: See? Maybe you'll love living alone. | SHELDON: I don't know. Perhaps. | AMY: And if it turns out you don't...",1,6,0,6,0,0,None,"gemma2_9b_context, gemma2_9b_no_context, qwen2.5_14b_context, qwen2.5_14b_no_context, phi3_medium_context, phi3_medium_no_context",1,1,1,1,1,1
281,train,CHANDLER: Joey's got a really bad hernia but its nothing that a laser eye surgery wont fix,"JOEY: Thank you, but it would take me forever to pay  you that money back and I don't want that hanging on my head. Besides, soon as my insurance kicks in I' ll all the free operations I want. T'll probably start with that laser eye surgery.",1,6,0,6,0,0,None,"gemma2_9b_context, gemma2_9b_no_context, qwen2.5_14b_context, qwen2.5_14b_no_context, phi3_medium_context, phi3_medium_no_context",1,1,1,1,1,1
132,train,"LEONARD: Sure, maybe a tableau of me trying to pummel you to death.","SHELDON: Of course not. I'm a theoretical physicist.
A career I chose in no small part because it's indoors, but if I'm able to detect slow-moving magnetic monopoles there, I will be the scientis to confirm string theory. | SHELDON: People will write books about me. | SHELDON: Third-graders will create macaroni-art dioramas depicting scenes from my life.",1,6,0,6,0,0,None,"gemma2_9b_context, gemma2_9b_no_context, qwen2.5_14b_context, qwen2.5_14b_no_context, phi3_medium_context, phi3_medium_no_context",1,1,1,1,1,1
163,train,"RACHEL: Anyway, they want to take us out Saturday night! What do you say?",JOEY: Oh my! | RACHEL: They're male nurses. | JOEY: Not in my head.,0,6,0,6,0,0,None,"gemma2_9b_context, gemma2_9b_no_context, qwen2.5_14b_context, qwen2.5_14b_no_context, phi3_medium_context, phi3_medium_no_context",0,0,0,0,0,0
228,train,"LEONARD: said horrible things about each other in public... all in all, a pretty magical night.","LEONARD: Okay. So... we went out, saw a movie, met some nice people,",1,6,0,6,0,0,None,"gemma2_9b_context, gemma2_9b_no_context, qwen2.5_14b_context, qwen2.5_14b_no_context, phi3_medium_context, phi3_medium_no_context",1,1,1,1,1,1
220,train,"AMY: Oh, I could so see you being the face of hemorrhoids.","AMY: It's like a waterfall of liquid gold. | AMY: My turn. | PENNY: You know, I don't even know what the point of me staying in L.A. is. | PENNY: I haven't gotten a single acting job since I moved out here. | PENNY: The closest I came was last month, I got a callback for a hemorrhoid commercial.",1,6,0,6,0,0,None,"gemma2_9b_context, gemma2_9b_no_context, qwen2.5_14b_context, qwen2.5_14b_no_context, phi3_medium_context, phi3_medium_no_context",1,1,1,1,1,1
219,train,CHANDLER: That's so funny because you look more like Joey Tribbiani man slash woman.,"CHANDLER: And this from cry for help department, are you wearing makeup? | JOEY: Yes I am, as of today, I am official Joey Tribbiani actor slash model.",1,6,0,6,0,0,None,"gemma2_9b_context, gemma2_9b_no_context, qwen2.5_14b_context, qwen2.5_14b_no_context, phi3_medium_context, phi3_medium_no_context",1,1,1,1,1,1
217,train,"CHANDLER: Oh, um, I don't care!",JOEY: How do I look?,1,6,0,6,0,0,None,"gemma2_9b_context, gemma2_9b_no_context, qwen2.5_14b_context, qwen2.5_14b_no_context, phi3_medium_context, phi3_medium_no_context",1,1,1,1,1,1
212,train,"PERSON: I'm sorry, fiddling with yourself in the bathtub is a real class act.","HOWARD: So nice you could join me this evening. | HOWARD: You're looking lovely as always. | PERSON: Thanks, Howard.  Always nice to be part of your masturbatory fantasies. | HOWARD: Come on, Katee. Don't make it sound so cheap.",1,6,0,6,0,0,None,"gemma2_9b_context, gemma2_9b_no_context, qwen2.5_14b_context, qwen2.5_14b_no_context, phi3_medium_context, phi3_medium_no_context",1,1,1,1,1,1
170,train,HOWARD: It was the kind of thing that makes it kind of hard to face her now.,"LEONARD: You never told me what happened between you and Bernadette. | HOWARD: I did a stupid thing. | LEONARD: Yeah, I guessed that.",0,6,0,6,0,0,None,"gemma2_9b_context, gemma2_9b_no_context, qwen2.5_14b_context, qwen2.5_14b_no_context, phi3_medium_context, phi3_medium_no_context",0,0,0,0,0,0
207,train,"RAJ: Your girlfriend and your ex-girlfriend are hanging out together? Oh, yeah, that can only be good for you.","PENNY: You mean when he was little. | PERSON: Not as little as you'd want him to be. | PENNY: You know, this stuff is horrible.
You want to see if we can find the cafeteria and get real coffee? Sure. | PERSON: We're going to the cafeteria to get some coffee. 
You want anything? | LEONARD: I'm fine. | RAJ: That's nice that they're getting along.",1,6,0,6,0,0,None,"gemma2_9b_context, gemma2_9b_no_context, qwen2.5_14b_context, qwen2.5_14b_no_context, phi3_medium_context, phi3_medium_no_context",1,1,1,1,1,1
172,train,"CHANDLER: No, no, I am just looking for a man to draw on me with chalk.",CHANDLER: Anybody know a good tailor? | JOEY: You needs some clothes altered?,1,6,0,6,0,0,None,"gemma2_9b_context, gemma2_9b_no_context, qwen2.5_14b_context, qwen2.5_14b_no_context, phi3_medium_context, phi3_medium_no_context",1,1,1,1,1,1
173,train,CHANDLER: Really? Struck down in the prime of life.,"MONICA: Chandler, I think I am sick",1,6,0,6,0,0,None,"gemma2_9b_context, gemma2_9b_no_context, qwen2.5_14b_context, qwen2.5_14b_no_context, phi3_medium_context, phi3_medium_no_context",1,1,1,1,1,1
202,train,"SHELDON: Oh, sure, what a wonderful idea. And after that, I'll make up my own rules of oral hygiene. You know, instead of flossing, I'll rub pudding on my gums. I'm going to get the number of the SyFy Channel and give them what for.","SHELDON: It ended on a cliffhanger. | LEONARD: They did. | PENNY: Uh, Sheldon, there are two dumplings left. Do you want them? | SHELDON: Dumplings?
Don't you understand what's going on here? | PENNY: As a rule, no. | SHELDON: That show ended with all the residents of New York either dead or unconscious.
Now I'll never know what happened. | PENNY: Well, why don't you make up your own ending?",1,6,0,6,0,0,None,"gemma2_9b_context, gemma2_9b_no_context, qwen2.5_14b_context, qwen2.5_14b_no_context, phi3_medium_context, phi3_medium_no_context",1,1,1,1,1,1
178,train,"CHANDLER: We were wondering what was taking so long with the gift, but now we understand you were doing this.","JOEY: Quack quack, quack quack, quack quack.",1,6,0,6,0,0,None,"gemma2_9b_context, gemma2_9b_no_context, qwen2.5_14b_context, qwen2.5_14b_no_context, phi3_medium_context, phi3_medium_no_context",1,1,1,1,1,1
179,train,"SHELDON: Oh, sure. And while we're at it, why don't we put our hands behind our backs, have an old-fashioned eating contest?","HOWARD: I told my girlfriend Bernadette she could join us for dinner. | LEONARD: Sure. The more, the merrier. | SHELDON: Wa- no, that's a false equivalency. More does not equal merry. | SHELDON: If there were 2,000 people in this apartment right now, would we be celebrating?
No, we'd be suffocating. | LEONARD: Sheldon... | SHELDON: Don't ""Sheldon"" me. We ordered for five people, not six. | PENNY: Oh, come on, it's fine. We'll just put it all on the table, you know, family style.",1,6,0,6,0,0,None,"gemma2_9b_context, gemma2_9b_no_context, qwen2.5_14b_context, qwen2.5_14b_no_context, phi3_medium_context, phi3_medium_no_context",1,1,1,1,1,1
180,train,PHOEBE: So now I have to go so he'll think that I'm totally ok with seeing him!,"PHOEBE: And she was like ""Oh, don't worry! I asked him. He's totally ok with seeing you!"".",1,6,0,6,0,0,None,"gemma2_9b_context, gemma2_9b_no_context, qwen2.5_14b_context, qwen2.5_14b_no_context, phi3_medium_context, phi3_medium_no_context",1,1,1,1,1,1
189,train,"LEONARD: Ah, that's a good question. Apparently someone was being awfully flirty while not wearing their engagement ring, causing another someone to show up here thinking the first someone might be available.","HOWARD: A gallant man would defend his fiance for being called a urethra. | LEONARD: Can we please change the subject? | RAJ: Well, that didn't go your way. | PENNY: Dr. Lorvis, what are you doing here? | PERSON: Uh, well, actually I came to see you. | PENNY: Really? Why?",1,6,0,6,0,0,None,"gemma2_9b_context, gemma2_9b_no_context, qwen2.5_14b_context, qwen2.5_14b_no_context, phi3_medium_context, phi3_medium_no_context",1,1,1,1,1,1
162,train,CHANDLER: Oh yeah right. And what would my opening line be? Excuse me,MONICA: Go over to her. She's not with anyone.,1,6,0,6,0,0,None,"gemma2_9b_context, gemma2_9b_no_context, qwen2.5_14b_context, qwen2.5_14b_no_context, phi3_medium_context, phi3_medium_no_context",1,1,1,1,1,1
160,train,"JOEY: Oh sure, go with the sissy.","PHOEBE: Yeah, but Jason's really sensitive. | CHANDLER: Well sensitive is important, pick him. | PHOEBE: Yeah.",1,6,0,6,0,0,None,"gemma2_9b_context, gemma2_9b_no_context, qwen2.5_14b_context, qwen2.5_14b_no_context, phi3_medium_context, phi3_medium_no_context",1,1,1,1,1,1
158,train,MEMBER-GIRL: We thought you were just here for the company. He is a sarcasmoholic Stewart.,SCOTT: My name's Scott and I am a sarcasmholic. | MEMBER-GIRL: Nooo.,1,6,0,6,0,0,None,"gemma2_9b_context, gemma2_9b_no_context, qwen2.5_14b_context, qwen2.5_14b_no_context, phi3_medium_context, phi3_medium_no_context",1,1,1,1,1,1
143,train,"PERSON: Ross umm, there's something that I've got to tell you, there's-there's someone else.","PERSON: It was dreadful. I felt terrible about how I acted when you said those wonderful things. | ROSS: No, no, that-that, that's all right. Umm, I'm just glad you called.",0,6,0,6,0,0,None,"gemma2_9b_context, gemma2_9b_no_context, qwen2.5_14b_context, qwen2.5_14b_no_context, phi3_medium_context, phi3_medium_no_context",0,0,0,0,0,0
136,train,"SHELDON: Congratulations and welcome temporarily aboard. Here's your I.D. card, your key and your lapel pin. Which Leonard was too cool to wear.","SHELDON: And a living will and durable power of attorney. | RAJ: This says you can make ""end of life"" decisions for me. | SHELDON: As your friend, let's hope it doesn't come to that. 
Please sign. | RAJ: Did you sign this? | LEONARD: There's a reciprocity clause.
You get to pull the plug on him, too. | RAJ: Well, that seems fair.",1,6,0,6,0,0,None,"gemma2_9b_context, gemma2_9b_no_context, qwen2.5_14b_context, qwen2.5_14b_no_context, phi3_medium_context, phi3_medium_no_context",1,1,1,1,1,1
